0	0.999999
1	0.603046
2	0.300005
3	0.193332
4	0.136478
5	0.101357
6	0.0795922
7	0.0654089
8	0.0543166
9	0.0466711
10	0.0405503
11	0.0359771
12	0.0319807
13	0.028539
14	0.0257206
15	0.0235066
16	0.0215649
17	0.0199015
18	0.0183629
19	0.0170835
20	0.0159558
21	0.0149343
22	0.0140457
23	0.0132716
24	0.0125131
25	0.0118143
26	0.0111517
27	0.0106226
28	0.0101309
29	0.00965632
30	0.00920753
31	0.00876454
32	0.00836639
33	0.00800731
34	0.00762534
35	0.00733231
36	0.00703704
37	0.00678788
38	0.00653823
39	0.00630699
