=== 20220319 10:26 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
01:11 | 20220319/f_42 | 1024 |          0.1 |   1.6 |     256 |     0.001 | Disabled   | Trimers | Both | (43 / 144)	 Chunks: 20
02:27 | 20220319/f_43 | 1024 |          0.1 |   1.6 |     256 |     0.001 | Disabled   | Squared | Both | (44 / 144)	 Chunks: 9
02:42 | 20220319/f_44 | 1024 |          0.2 |   1.6 |     256 |     0.001 | Disabled   | Dimers | Both | (45 / 144)	 Chunks: 3
02:48 | 20220319/f_45 | 1024 |          0.2 |   1.6 |     256 |     0.001 | Disabled   | Linear trimers | Both | (46 / 144)	 Chunks: 17
03:23 | 20220319/f_46 | 1024 |          0.2 |   1.6 |     256 |     0.001 | Disabled   | Trimers | Both | (47 / 144)	 Chunks: 8
03:49 | 20220319/f_47 | 1024 |          0.2 |   1.6 |     256 |     0.001 | Disabled   | Squared | Both | (48 / 144)	 Chunks: 18
04:15 | 20220319/f_48 | 2048 |         0.05 |   0.4 |     256 |     0.001 | Disabled   | Dimers | Both | (49 / 144)	 Chunks: 12
05:54 | 20220319/f_49 | 2048 |         0.05 |   0.4 |     256 |     0.001 | Disabled   | Linear trimers | Both | (50 / 144)	 Chunks: 12
07:31 | 20220319/f_50 | 2048 |         0.05 |   0.4 |     256 |     0.001 | Disabled   | Trimers | Both | (51 / 144)	 Chunks: 4
08:28 | 20220319/f_51 | 2048 |         0.05 |   0.4 |     256 |     0.001 | Disabled   | Squared | Both | (52 / 144)	 Chunks: 11
09:37 | 20220319/f_52 | 2048 |          0.1 |   0.4 |     256 |     0.001 | Disabled   | Dimers | Both | (53 / 144)	 Chunks: 7
10:32 | 20220319/f_53 | 2048 |          0.1 |   0.4 |     256 |     0.001 | Disabled   | Linear trimers | Both | (54 / 144)	 Chunks: 18
12:52 | 20220319/f_54 | 2048 |          0.1 |   0.4 |     256 |     0.001 | Disabled   | Trimers | Both | (55 / 144)	 Chunks: 4
14:02 | 20220319/f_55 | 2048 |          0.1 |   0.4 |     256 |     0.001 | Disabled   | Squared | Both | (56 / 144)	 Chunks: 18
16:24 | 20220319/f_56 | 2048 |          0.2 |   0.4 |     256 |     0.001 | Disabled   | Dimers | Both | (57 / 144)	 Chunks: 10
18:03 | 20220319/f_57 | 2048 |          0.2 |   0.4 |     256 |     0.001 | Disabled   | Linear trimers | Both | (58 / 144)	 Chunks: 5
