=== 20221114 23:16 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS 
02:58 | 21114_v2/f_41 |   64 |          0.1 |   1.6 |    1000 |    0.0001 | Disabled   | Trimers | (42 / 288)	 Replicas: 4096000
05:06 | 21114_v2/f_42 |   64 |          0.1 |   1.6 |    1000 |    0.0001 | Disabled   | Linear trimers | (43 / 288)	 Replicas: 16000
05:07 | 21114_v2/f_43 |   64 |          0.1 |   1.6 |    1000 |    0.0001 | Disabled   | Squared | (44 / 288)	 Replicas: 16384000
07:23 | 21114_v2/f_44 |   64 |          0.2 |   1.6 |    1000 |    0.0001 | Disabled   | Dimers | (45 / 288)	 Replicas: 16384000
10:10 | 21114_v2/f_45 |   64 |          0.2 |   1.6 |    1000 |    0.0001 | Disabled   | Trimers | (46 / 288)	 Replicas: 16384000
17:46 | 21114_v2/f_46 |   64 |          0.2 |   1.6 |    1000 |    0.0001 | Disabled   | Linear trimers | (47 / 288)	 Replicas: 512000
17:51 | 21114_v2/f_47 |   64 |          0.2 |   1.6 |    1000 |    0.0001 | Disabled   | Squared | (48 / 288)	 Replicas: 131072000
15:18 | 21114_v2/f_48 |  128 |         0.05 |   0.4 |    1000 |    0.0001 | Disabled   | Dimers | (49 / 288)	 Replicas: 16384000
04:55 | 21114_v2/f_49 |  128 |         0.05 |   0.4 |    1000 |    0.0001 | Disabled   | Trimers | (50 / 288)	 Replicas: 8192000
22:30 | 21114_v2/f_50 |  128 |         0.05 |   0.4 |    1000 |    0.0001 | Disabled   | Linear trimers | (51 / 288)	 Replicas: 2048000
00:12 | 21114_v2/f_51 |  128 |         0.05 |   0.4 |    1000 |    0.0001 | Disabled   | Squared | (52 / 288)	 Replicas: 32768000
22:04 | 21114_v2/f_52 |  128 |          0.1 |   0.4 |    1000 |    0.0001 | Disabled   | Dimers | (53 / 288)	 Replicas: 128000
22:11 | 21114_v2/f_53 |  128 |          0.1 |   0.4 |    1000 |    0.0001 | Disabled   | Trimers | (54 / 288)	 Replicas: 128000
22:27 | 21114_v2/f_54 |  128 |          0.1 |   0.4 |    1000 |    0.0001 | Disabled   | Linear trimers | (55 / 288)	 Replicas: 131072000
16:25 | 21114_v2/f_55 |  128 |          0.1 |   0.4 |    1000 |    0.0001 | Disabled   | Squared | (56 / 288)	 Replicas: 16384000
01:45 | 21114_v2/f_56 |  128 |          0.2 |   0.4 |    1000 |    0.0001 | Disabled   | Dimers | (57 / 288)	 Replicas: 32000
01:47 | 21114_v2/f_57 |  128 |          0.2 |   0.4 |    1000 |    0.0001 | Disabled   | Trimers | (58 / 288)	 Replicas: 4096000
09:04 | 21114_v2/f_58 |  128 |          0.2 |   0.4 |    1000 |    0.0001 | Disabled   | Linear trimers | (59 / 288)	 Replicas: 16384000
20:18 | 21114_v2/f_59 |  128 |          0.2 |   0.4 |    1000 |    0.0001 | Disabled   | Squared | (60 / 288)	 Replicas: 131072000
21:45 | 21114_v2/f_60 |  128 |         0.05 |   0.8 |    1000 |    0.0001 | Disabled   | Dimers | (61 / 288)	 Replicas: 4096000
