0	0.999999
1	0.602713
2	0.299541
3	0.192948
4	0.136154
5	0.10098
6	0.0791331
7	0.0648392
8	0.0536871
9	0.0459967
10	0.0398702
11	0.0352987
12	0.0313685
13	0.0280735
14	0.0253695
15	0.0232459
16	0.0213299
17	0.0196435
18	0.0180537
19	0.0167885
20	0.0156842
21	0.0146381
22	0.013707
23	0.0129013
24	0.0121375
25	0.0114504
26	0.0108092
27	0.010289
28	0.00982053
29	0.00937903
30	0.00891805
31	0.00847111
32	0.00805153
33	0.00769828
34	0.00733768
35	0.00701787
36	0.00667646
37	0.00642355
38	0.00614727
39	0.00591709
