0	1
1	0.41406
2	0.193925
3	0.123663
4	0.08696
5	0.0644067
6	0.0504802
7	0.0413272
8	0.0342145
9	0.0293138
10	0.0254245
11	0.0225124
12	0.0200033
13	0.0178938
14	0.0161322
15	0.0147705
16	0.0135779
17	0.012509
18	0.0114595
19	0.010659
20	0.00997675
21	0.0093376
22	0.00874579
23	0.0082335
24	0.00777139
25	0.00733073
26	0.00692211
27	0.00658964
28	0.00628
29	0.00598161
30	0.00567384
31	0.00539023
32	0.00512338
33	0.00489989
34	0.00467429
35	0.00445828
36	0.00424034
37	0.00408407
38	0.00391957
39	0.00377185
