=== 20220712 20:31 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
00:06 | 20220712/f_40 |   64 |          0.1 |   1.6 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (41 / 288)	 Replicas: 64000
00:07 | 20220712/f_41 |   64 |          0.1 |   1.6 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (42 / 288)	 Replicas: 128000
00:12 | 20220712/f_42 |   64 |          0.1 |   1.6 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (43 / 288)	 Replicas: 64000
00:13 | 20220712/f_43 |   64 |          0.1 |   1.6 |    1000 |     0.001 | Disabled   | Squared | Disabled | (44 / 288)	 Replicas: 32000
00:14 | 20220712/f_44 |   64 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (45 / 288)	 Replicas: 1024000
00:33 | 20220712/f_45 |   64 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (46 / 288)	 Replicas: 64000
00:35 | 20220712/f_46 |   64 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (47 / 288)	 Replicas: 64000
00:37 | 20220712/f_47 |   64 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Squared | Disabled | (48 / 288)	 Replicas: 64000
00:37 | 20220712/f_48 |  128 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (49 / 288)	 Replicas: 16000
00:39 | 20220712/f_49 |  128 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (50 / 288)	 Replicas: 256000
01:24 | 20220712/f_50 |  128 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (51 / 288)	 Replicas: 8000
01:24 | 20220712/f_51 |  128 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (52 / 288)	 Replicas: 512000
02:02 | 20220712/f_52 |  128 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (53 / 288)	 Replicas: 256000
02:24 | 20220712/f_53 |  128 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (54 / 288)	 Replicas: 64000
02:35 | 20220712/f_54 |  128 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (55 / 288)	 Replicas: 64000
02:40 | 20220712/f_55 |  128 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (56 / 288)	 Replicas: 512000
03:17 | 20220712/f_56 |  128 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (57 / 288)	 Replicas: 8000
03:18 | 20220712/f_57 |  128 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (58 / 288)	 Replicas: 128000
03:37 | 20220712/f_58 |  128 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (59 / 288)	 Replicas: 16000
03:39 | 20220712/f_59 |  128 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (60 / 288)	 Replicas: 64000
03:43 | 20220712/f_60 |  128 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (61 / 288)	 Replicas: 128000
03:55 | 20220712/f_61 |  128 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (62 / 288)	 Replicas: 256000
04:39 | 20220712/f_62 |  128 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (63 / 288)	 Replicas: 512000
05:26 | 20220712/f_63 |  128 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Squared | Disabled | (64 / 288)	 Replicas: 32000
05:28 | 20220712/f_64 |  128 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (65 / 288)	 Replicas: 4000
05:28 | 20220712/f_65 |  128 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (66 / 288)	 Replicas: 64000
05:39 | 20220712/f_66 |  128 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (67 / 288)	 Replicas: 8000
05:40 | 20220712/f_67 |  128 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Squared | Disabled | (68 / 288)	 Replicas: 256000
05:58 | 20220712/f_68 |  128 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (69 / 288)	 Replicas: 128000
06:09 | 20220712/f_69 |  128 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (70 / 288)	 Replicas: 256000
06:47 | 20220712/f_70 |  128 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (71 / 288)	 Replicas: 256000
07:09 | 20220712/f_71 |  128 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Squared | Disabled | (72 / 288)	 Replicas: 256000
07:27 | 20220712/f_72 |  128 |         0.05 |   1.2 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (73 / 288)	 Replicas: 128000
07:38 | 20220712/f_73 |  128 |         0.05 |   1.2 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (74 / 288)	 Replicas: 4000
07:39 | 20220712/f_74 |  128 |         0.05 |   1.2 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (75 / 288)	 Replicas: 512000
08:26 | 20220712/f_75 |  128 |         0.05 |   1.2 |    1000 |     0.001 | Disabled   | Squared | Disabled | (76 / 288)	 Replicas: 256000
08:45 | 20220712/f_76 |  128 |          0.1 |   1.2 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (77 / 288)	 Replicas: 64000
08:50 | 20220712/f_77 |  128 |          0.1 |   1.2 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (78 / 288)	 Replicas: 16000
08:53 | 20220712/f_78 |  128 |          0.1 |   1.2 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (79 / 288)	 Replicas: 1024000
10:23 | 20220712/f_79 |  128 |          0.1 |   1.2 |    1000 |     0.001 | Disabled   | Squared | Disabled | (80 / 288)	 Replicas: 128000
10:32 | 20220712/f_80 |  128 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (81 / 288)	 Replicas: 128000
10:43 | 20220712/f_81 |  128 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (82 / 288)	 Replicas: 4000
