=== 20220321 06:47 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
19:50 | 20220321/f_43 |  512 |            1 |   0.4 |     512 |     0.001 | Disabled   | Squared | Both | (44 / 176)	 Chunks: 2
19:53 | 20220321/f_44 |  512 |            0 |   0.8 |     512 |     0.001 | Disabled   | Dimers | Both | (45 / 176)	 Chunks: 6
20:04 | 20220321/f_45 |  512 |            0 |   0.8 |     512 |     0.001 | Disabled   | Linear trimers | Both | (46 / 176)	 Chunks: 12
20:24 | 20220321/f_46 |  512 |            0 |   0.8 |     512 |     0.001 | Disabled   | Trimers | Both | (47 / 176)	 Chunks: 10
20:48 | 20220321/f_47 |  512 |            0 |   0.8 |     512 |     0.001 | Disabled   | Squared | Both | (48 / 176)	 Chunks: 11
21:05 | 20220321/f_48 |  512 |          0.1 |   0.8 |     512 |     0.001 | Disabled   | Dimers | Both | (49 / 176)	 Chunks: 2
21:08 | 20220321/f_49 |  512 |          0.1 |   0.8 |     512 |     0.001 | Disabled   | Linear trimers | Both | (50 / 176)	 Chunks: 11
21:27 | 20220321/f_50 |  512 |          0.1 |   0.8 |     512 |     0.001 | Disabled   | Trimers | Both | (51 / 176)	 Chunks: 7
21:43 | 20220321/f_51 |  512 |          0.1 |   0.8 |     512 |     0.001 | Disabled   | Squared | Both | (52 / 176)	 Chunks: 8
21:56 | 20220321/f_52 |  512 |          0.2 |   0.8 |     512 |     0.001 | Disabled   | Dimers | Both | (53 / 176)	 Chunks: 8
22:09 | 20220321/f_53 |  512 |          0.2 |   0.8 |     512 |     0.001 | Disabled   | Linear trimers | Both | (54 / 176)	 Chunks: 15
22:34 | 20220321/f_54 |  512 |          0.2 |   0.8 |     512 |     0.001 | Disabled   | Trimers | Both | (55 / 176)	 Chunks: 8
22:52 | 20220321/f_55 |  512 |          0.2 |   0.8 |     512 |     0.001 | Disabled   | Squared | Both | (56 / 176)	 Chunks: 9
23:06 | 20220321/f_56 |  512 |          0.3 |   0.8 |     512 |     0.001 | Disabled   | Dimers | Both | (57 / 176)	 Chunks: 7
23:17 | 20220321/f_57 |  512 |          0.3 |   0.8 |     512 |     0.001 | Disabled   | Linear trimers | Both | (58 / 176)	 Chunks: 6
23:27 | 20220321/f_58 |  512 |          0.3 |   0.8 |     512 |     0.001 | Disabled   | Trimers | Both | (59 / 176)	 Chunks: 10
23:49 | 20220321/f_59 |  512 |          0.3 |   0.8 |     512 |     0.001 | Disabled   | Squared | Both | (60 / 176)	 Chunks: 19
00:18 | 20220321/f_60 |  512 |          0.4 |   0.8 |     512 |     0.001 | Disabled   | Dimers | Both | (61 / 176)	 Chunks: 7
00:29 | 20220321/f_61 |  512 |          0.4 |   0.8 |     512 |     0.001 | Disabled   | Linear trimers | Both | (62 / 176)	 Chunks: 9
00:44 | 20220321/f_62 |  512 |          0.4 |   0.8 |     512 |     0.001 | Disabled   | Trimers | Both | (63 / 176)	 Chunks: 7
00:59 | 20220321/f_63 |  512 |          0.4 |   0.8 |     512 |     0.001 | Disabled   | Squared | Both | (64 / 176)	 Chunks: 16
01:23 | 20220321/f_64 |  512 |          0.5 |   0.8 |     512 |     0.001 | Disabled   | Dimers | Both | (65 / 176)	 Chunks: 4
01:29 | 20220321/f_65 |  512 |          0.5 |   0.8 |     512 |     0.001 | Disabled   | Linear trimers | Both | (66 / 176)	 Chunks: 4
01:36 | 20220321/f_66 |  512 |          0.5 |   0.8 |     512 |     0.001 | Disabled   | Trimers | Both | (67 / 176)	 Chunks: 3
01:42 | 20220321/f_67 |  512 |          0.5 |   0.8 |     512 |     0.001 | Disabled   | Squared | Both | (68 / 176)	 Chunks: 19
02:11 | 20220321/f_68 |  512 |          0.6 |   0.8 |     512 |     0.001 | Disabled   | Dimers | Both | (69 / 176)	 Chunks: 2
02:14 | 20220321/f_69 |  512 |          0.6 |   0.8 |     512 |     0.001 | Disabled   | Linear trimers | Both | (70 / 176)	 Chunks: 20
02:45 | 20220321/f_70 |  512 |          0.6 |   0.8 |     512 |     0.001 | Disabled   | Trimers | Both | (71 / 176)	 Chunks: 5
02:55 | 20220321/f_71 |  512 |          0.6 |   0.8 |     512 |     0.001 | Disabled   | Squared | Both | (72 / 176)	 Chunks: 7
03:05 | 20220321/f_72 |  512 |          0.7 |   0.8 |     512 |     0.001 | Disabled   | Dimers | Both | (73 / 176)	 Chunks: 9
03:19 | 20220321/f_73 |  512 |          0.7 |   0.8 |     512 |     0.001 | Disabled   | Linear trimers | Both | (74 / 176)	 Chunks: 17
03:45 | 20220321/f_74 |  512 |          0.7 |   0.8 |     512 |     0.001 | Disabled   | Trimers | Both | (75 / 176)	 Chunks: 10
04:03 | 20220321/f_75 |  512 |          0.7 |   0.8 |     512 |     0.001 | Disabled   | Squared | Both | (76 / 176)	 Chunks: 8
04:15 | 20220321/f_76 |  512 |          0.8 |   0.8 |     512 |     0.001 | Disabled   | Dimers | Both | (77 / 176)	 Chunks: 7
04:25 | 20220321/f_77 |  512 |          0.8 |   0.8 |     512 |     0.001 | Disabled   | Linear trimers | Both | (78 / 176)	 Chunks: 4
04:32 | 20220321/f_78 |  512 |          0.8 |   0.8 |     512 |     0.001 | Disabled   | Trimers | Both | (79 / 176)	 Chunks: 9
04:47 | 20220321/f_79 |  512 |          0.8 |   0.8 |     512 |     0.001 | Disabled   | Squared | Both | (80 / 176)	 Chunks: 23
05:21 | 20220321/f_80 |  512 |          0.9 |   0.8 |     512 |     0.001 | Disabled   | Dimers | Both | (81 / 176)	 Chunks: 7
05:31 | 20220321/f_81 |  512 |          0.9 |   0.8 |     512 |     0.001 | Disabled   | Linear trimers | Both | (82 / 176)	 Chunks: 15
05:53 | 20220321/f_82 |  512 |          0.9 |   0.8 |     512 |     0.001 | Disabled   | Trimers | Both | (83 / 176)	 Chunks: 7
06:05 | 20220321/f_83 |  512 |          0.9 |   0.8 |     512 |     0.001 | Disabled   | Squared | Both | (84 / 176)	 Chunks: 13
06:24 | 20220321/f_84 |  512 |            1 |   0.8 |     512 |     0.001 | Disabled   | Dimers | Both | (85 / 176)	 Chunks: 2
06:27 | 20220321/f_85 |  512 |            1 |   0.8 |     512 |     0.001 | Disabled   | Linear trimers | Both | (86 / 176)	 Chunks: 2
06:30 | 20220321/f_86 |  512 |            1 |   0.8 |     512 |     0.001 | Disabled   | Trimers | Both | (87 / 176)	 Chunks: 2
06:33 | 20220321/f_87 |  512 |            1 |   0.8 |     512 |     0.001 | Disabled   | Squared | Both | (88 / 176)	 Chunks: 2
06:35 | 20220321/f_88 |  512 |            0 |   1.2 |     512 |     0.001 | Disabled   | Dimers | Both | (89 / 176)	 Chunks: 11
06:54 | 20220321/f_89 |  512 |            0 |   1.2 |     512 |     0.001 | Disabled   | Linear trimers | Both | (90 / 176)	 Chunks: 7
07:06 | 20220321/f_90 |  512 |            0 |   1.2 |     512 |     0.001 | Disabled   | Trimers | Both | (91 / 176)	 Chunks: 6
07:20 | 20220321/f_91 |  512 |            0 |   1.2 |     512 |     0.001 | Disabled   | Squared | Both | (92 / 176)	 Chunks: 10
07:36 | 20220321/f_92 |  512 |          0.1 |   1.2 |     512 |     0.001 | Disabled   | Dimers | Both | (93 / 176)	 Chunks: 5
07:44 | 20220321/f_93 |  512 |          0.1 |   1.2 |     512 |     0.001 | Disabled   | Linear trimers | Both | (94 / 176)	 Chunks: 7
07:56 | 20220321/f_94 |  512 |          0.1 |   1.2 |     512 |     0.001 | Disabled   | Trimers | Both | (95 / 176)	 Chunks: 13
08:25 | 20220321/f_95 |  512 |          0.1 |   1.2 |     512 |     0.001 | Disabled   | Squared | Both | (96 / 176)	 Chunks: 18
08:53 | 20220321/f_96 |  512 |          0.2 |   1.2 |     512 |     0.001 | Disabled   | Dimers | Both | (97 / 176)	 Chunks: 10
09:10 | 20220321/f_97 |  512 |          0.2 |   1.2 |     512 |     0.001 | Disabled   | Linear trimers | Both | (98 / 176)	 Chunks: 4
09:17 | 20220321/f_98 |  512 |          0.2 |   1.2 |     512 |     0.001 | Disabled   | Trimers | Both | (99 / 176)	 Chunks: 8
09:34 | 20220321/f_99 |  512 |          0.2 |   1.2 |     512 |     0.001 | Disabled   | Squared | Both | (100 / 176)	 Chunks: 4
09:40 | 0220321/f_100 |  512 |          0.3 |   1.2 |     512 |     0.001 | Disabled   | Dimers | Both | (101 / 176)	 Chunks: 2
09:44 | 0220321/f_101 |  512 |          0.3 |   1.2 |     512 |     0.001 | Disabled   | Linear trimers | Both | (102 / 176)	 Chunks: 6
09:53 | 0220321/f_102 |  512 |          0.3 |   1.2 |     512 |     0.001 | Disabled   | Trimers | Both | (103 / 176)	 Chunks: 2
09:58 | 0220321/f_103 |  512 |          0.3 |   1.2 |     512 |     0.001 | Disabled   | Squared | Both | (104 / 176)	 Chunks: 6
10:07 | 0220321/f_104 |  512 |          0.4 |   1.2 |     512 |     0.001 | Disabled   | Dimers | Both | (105 / 176)	 Chunks: 7
10:18 | 0220321/f_105 |  512 |          0.4 |   1.2 |     512 |     0.001 | Disabled   | Linear trimers | Both | (106 / 176)	 Chunks: 3
10:23 | 0220321/f_106 |  512 |          0.4 |   1.2 |     512 |     0.001 | Disabled   | Trimers | Both | (107 / 176)	 Chunks: 5
10:33 | 0220321/f_107 |  512 |          0.4 |   1.2 |     512 |     0.001 | Disabled   | Squared | Both | (108 / 176)	 Chunks: 3
10:38 | 0220321/f_108 |  512 |          0.5 |   1.2 |     512 |     0.001 | Disabled   | Dimers | Both | (109 / 176)	 Chunks: 3
10:43 | 0220321/f_109 |  512 |          0.5 |   1.2 |     512 |     0.001 | Disabled   | Linear trimers | Both | (110 / 176)	 Chunks: 8
10:56 | 0220321/f_110 |  512 |          0.5 |   1.2 |     512 |     0.001 | Disabled   | Trimers | Both | (111 / 176)	 Chunks: 3
11:01 | 0220321/f_111 |  512 |          0.5 |   1.2 |     512 |     0.001 | Disabled   | Squared | Both | (112 / 176)	 Chunks: 6
11:10 | 0220321/f_112 |  512 |          0.6 |   1.2 |     512 |     0.001 | Disabled   | Dimers | Both | (113 / 176)	 Chunks: 9
11:25 | 0220321/f_113 |  512 |          0.6 |   1.2 |     512 |     0.001 | Disabled   | Linear trimers | Both | (114 / 176)	 Chunks: 10
11:40 | 0220321/f_114 |  512 |          0.6 |   1.2 |     512 |     0.001 | Disabled   | Trimers | Both | (115 / 176)	 Chunks: 4
11:48 | 0220321/f_115 |  512 |          0.6 |   1.2 |     512 |     0.001 | Disabled   | Squared | Both | (116 / 176)	 Chunks: 9
12:01 | 0220321/f_116 |  512 |          0.7 |   1.2 |     512 |     0.001 | Disabled   | Dimers | Both | (117 / 176)	 Chunks: 10
12:17 | 0220321/f_117 |  512 |          0.7 |   1.2 |     512 |     0.001 | Disabled   | Linear trimers | Both | (118 / 176)	 Chunks: 10
12:32 | 0220321/f_118 |  512 |          0.7 |   1.2 |     512 |     0.001 | Disabled   | Trimers | Both | (119 / 176)	 Chunks: 7
