=== 20220911 14:52 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
17:13 | 20220911/f_40 |   64 |          0.1 |   1.6 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (41 / 288)	 Replicas: 128000
17:15 | 20220911/f_41 |   64 |          0.1 |   1.6 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (42 / 288)	 Replicas: 256000
17:24 | 20220911/f_42 |   64 |          0.1 |   1.6 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (43 / 288)	 Replicas: 8000
17:24 | 20220911/f_43 |   64 |          0.1 |   1.6 |    1000 |     0.001 | Disabled   | Squared | Disabled | (44 / 288)	 Replicas: 32000
17:24 | 20220911/f_44 |   64 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (45 / 288)	 Replicas: 4000
17:24 | 20220911/f_45 |   64 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (46 / 288)	 Replicas: 256000
17:32 | 20220911/f_46 |   64 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (47 / 288)	 Replicas: 64000
17:33 | 20220911/f_47 |   64 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Squared | Disabled | (48 / 288)	 Replicas: 4000
17:33 | 20220911/f_48 |  128 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (49 / 288)	 Replicas: 128000
17:42 | 20220911/f_49 |  128 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (50 / 288)	 Replicas: 256000
18:20 | 20220911/f_50 |  128 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (51 / 288)	 Replicas: 128000
18:29 | 20220911/f_51 |  128 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (52 / 288)	 Replicas: 4000
18:29 | 20220911/f_52 |  128 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (53 / 288)	 Replicas: 128000
18:38 | 20220911/f_53 |  128 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (54 / 288)	 Replicas: 256000
19:14 | 20220911/f_54 |  128 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (55 / 288)	 Replicas: 512000
19:48 | 20220911/f_55 |  128 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (56 / 288)	 Replicas: 8000
19:49 | 20220911/f_56 |  128 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (57 / 288)	 Replicas: 8000
19:49 | 20220911/f_57 |  128 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (58 / 288)	 Replicas: 4000
19:49 | 20220911/f_58 |  128 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (59 / 288)	 Replicas: 4000
19:50 | 20220911/f_59 |  128 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (60 / 288)	 Replicas: 4000
19:50 | 20220911/f_60 |  128 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (61 / 288)	 Replicas: 1024000
21:01 | 20220911/f_61 |  128 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (62 / 288)	 Replicas: 64000
21:10 | 20220911/f_62 |  128 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (63 / 288)	 Replicas: 8000
21:11 | 20220911/f_63 |  128 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Squared | Disabled | (64 / 288)	 Replicas: 64000
21:14 | 20220911/f_64 |  128 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (65 / 288)	 Replicas: 16000
21:15 | 20220911/f_65 |  128 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (66 / 288)	 Replicas: 128000
21:32 | 20220911/f_66 |  128 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (67 / 288)	 Replicas: 4000
21:33 | 20220911/f_67 |  128 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Squared | Disabled | (68 / 288)	 Replicas: 128000
21:39 | 20220911/f_68 |  128 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (69 / 288)	 Replicas: 16000
21:40 | 20220911/f_69 |  128 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (70 / 288)	 Replicas: 128000
21:55 | 20220911/f_70 |  128 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (71 / 288)	 Replicas: 64000
21:59 | 20220911/f_71 |  128 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Squared | Disabled | (72 / 288)	 Replicas: 16000
22:00 | 20220911/f_72 |  128 |         0.05 |   1.2 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (73 / 288)	 Replicas: 8000
