=== 20221024 20:43 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
09:25 | 0221024/f_102 |   64 |         0.05 |   1.6 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (40 / 288)	 Replicas: 256000
09:29 | 0221024/f_103 |   64 |          0.1 |   1.6 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (41 / 288)	 Replicas: 1024000
09:50 | 0221024/f_105 |   64 |          0.1 |   1.6 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (42 / 288)	 Replicas: 1024000
10:43 | 0221024/f_112 |   64 |          0.1 |   1.6 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (43 / 288)	 Replicas: 1024000
11:05 | 0221024/f_115 |   64 |          0.1 |   1.6 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (44 / 288)	 Replicas: 1024000
11:19 | 0221024/f_116 |   64 |          0.2 |   1.6 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (45 / 288)	 Replicas: 1024000
11:39 | 0221024/f_117 |   64 |          0.2 |   1.6 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (46 / 288)	 Replicas: 1024000
12:27 | 0221024/f_123 |   64 |          0.2 |   1.6 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (47 / 288)	 Replicas: 1024000
12:47 | 0221024/f_125 |   64 |          0.2 |   1.6 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (48 / 288)	 Replicas: 64000
12:48 | 0221024/f_126 |  128 |         0.05 |   0.4 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (49 / 288)	 Replicas: 256000
13:09 | 0221024/f_130 |  128 |         0.05 |   0.4 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (50 / 288)	 Replicas: 1024000
16:50 | 0221024/f_144 |  128 |         0.05 |   0.4 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (51 / 288)	 Replicas: 1024000
18:22 | 0221024/f_148 |  128 |         0.05 |   0.4 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (52 / 288)	 Replicas: 1024000
19:21 | 0221024/f_149 |  128 |          0.1 |   0.4 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (53 / 288)	 Replicas: 128000
19:31 | 0221024/f_150 |  128 |          0.1 |   0.4 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (54 / 288)	 Replicas: 1024000
23:01 | 0221024/f_154 |  128 |          0.1 |   0.4 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (55 / 288)	 Replicas: 4000
23:01 | 0221024/f_155 |  128 |          0.1 |   0.4 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (56 / 288)	 Replicas: 512000
23:30 | 0221024/f_156 |  128 |          0.2 |   0.4 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (57 / 288)	 Replicas: 1024000
00:45 | 0221024/f_158 |  128 |          0.2 |   0.4 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (58 / 288)	 Replicas: 64000
00:57 | 0221024/f_159 |  128 |          0.2 |   0.4 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (59 / 288)	 Replicas: 1024000
02:18 | 0221024/f_161 |  128 |          0.2 |   0.4 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (60 / 288)	 Replicas: 32000
02:19 | 0221024/f_162 |  128 |         0.05 |   0.8 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (61 / 288)	 Replicas: 1024000
03:43 | 0221024/f_168 |  128 |         0.05 |   0.8 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (62 / 288)	 Replicas: 1024000
07:22 | 0221024/f_172 |  128 |         0.05 |   0.8 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (63 / 288)	 Replicas: 1024000
08:56 | 0221024/f_175 |  128 |         0.05 |   0.8 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (64 / 288)	 Replicas: 1024000
09:55 | 0221024/f_176 |  128 |          0.1 |   0.8 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (65 / 288)	 Replicas: 256000
10:15 | 0221024/f_177 |  128 |          0.1 |   0.8 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (66 / 288)	 Replicas: 1024000
13:44 | 0221024/f_178 |  128 |          0.1 |   0.8 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (67 / 288)	 Replicas: 1024000
15:13 | 0221024/f_181 |  128 |          0.1 |   0.8 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (68 / 288)	 Replicas: 1024000
16:10 | 0221024/f_184 |  128 |          0.2 |   0.8 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (69 / 288)	 Replicas: 1024000
17:25 | 0221024/f_186 |  128 |          0.2 |   0.8 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (70 / 288)	 Replicas: 1024000
